Sample	Kallisto_percent_aligned	FastQC_percent_gc	Kallisto_pseudoaligned_reads	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails
 | SRR8668755_10K_subsample	53.34	50.0	5334.0	10000.0	11.85	74.4869	10.0
 | SRR8668756_10K_subsample	69.01	48.0	6901.0	10000.0	5.81	74.3183	10.0
 | SRR8668757_10K_subsample	48.54	47.0	4854.0	10000.0	7.63	74.4711	10.0
 | SRR8668758_10K_subsample	62.54	49.0	6254.0	10000.0	4.67	72.7371	10.0
 | SRR8668759_10K_subsample	47.54	57.0	4754.0	10000.0	11.82	72.7883	30.0
 | SRR8668769_10K_subsample	67.05	53.0	6705.0	10000.0	11.18	74.4802	20.0
 | SRR8668771_10K_subsample	52.22	52.0	5222.0	10000.0	12.62	74.5171	20.0
 | SRR8668772_10K_subsample	54.48	50.0	5448.0	10000.0	10.8	74.479	20.0
 | SRR8668773_10K_subsample	64.54	50.0	6454.0	10000.0	8.18	74.4618	20.0
 | SRR8668774_10K_subsample	58.42	49.0	5842.0	10000.0	7.12	73.8314	20.0
