Sample	percent_aligned	total_reads	not_pseudoaligned_reads	pseudoaligned_reads
 | SRR8668755_10K_subsample	53.34	10000.0	4666.0	5334.0
 | SRR8668756_10K_subsample	69.01	10000.0	3099.0	6901.0
 | SRR8668757_10K_subsample	48.54	10000.0	5146.0	4854.0
 | SRR8668758_10K_subsample	62.54	10000.0	3746.0	6254.0
 | SRR8668759_10K_subsample	47.54	10000.0	5246.0	4754.0
 | SRR8668769_10K_subsample	67.05	10000.0	3295.0	6705.0
 | SRR8668771_10K_subsample	52.22	10000.0	4778.0	5222.0
 | SRR8668772_10K_subsample	54.48	10000.0	4552.0	5448.0
 | SRR8668773_10K_subsample	64.54	10000.0	3546.0	6454.0
 | SRR8668774_10K_subsample	58.42	10000.0	4158.0	5842.0
