Sample	Kallisto_percent_aligned	Kallisto_pseudoaligned_reads
Kallisto | SRR8668755	52.7313217807	47416718.0
Kallisto | SRR8668755_1M_subsample	52.7959	527959.0
Kallisto | SRR8668756	68.9723864992	58270531.0
Kallisto | SRR8668757	48.7267211907	46344062.0
Kallisto | SRR8668758	62.2051982093	18762070.0
Kallisto | SRR8668769	67.6071960295	63720818.0
Kallisto | SRR8668771	52.150333591	33603869.0
Kallisto | SRR8668772	54.3287666017	37041302.0
Kallisto | SRR8668773	65.4113140098	45774918.0
Kallisto | SRR8668774	58.9560806902	78640298.0
