Sample	percent_aligned	total_reads	not_pseudoaligned_reads	pseudoaligned_reads
Kallisto | SRR8668755	52.7313217807	89921353.0	42504635.0	47416718.0
Kallisto | SRR8668755_1M_subsample	52.7959	1000000.0	472041.0	527959.0
Kallisto | SRR8668756	68.9723864992	84483855.0	26213324.0	58270531.0
Kallisto | SRR8668757	48.7267211907	95110159.0	48766097.0	46344062.0
Kallisto | SRR8668758	62.2051982093	30161579.0	11399509.0	18762070.0
Kallisto | SRR8668769	67.6071960295	94251532.0	30530714.0	63720818.0
Kallisto | SRR8668771	52.150333591	64436537.0	30832668.0	33603869.0
Kallisto | SRR8668772	54.3287666017	68179906.0	31138604.0	37041302.0
Kallisto | SRR8668773	65.4113140098	69980123.0	24205205.0	45774918.0
Kallisto | SRR8668774	58.9560806902	133387934.0	54747636.0	78640298.0
